,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",,,,,,,,,,,,,,,
Management Occupations:,,,,,,,,,,,,,,,
,,,,,,,2555,,,,,,,2590XX,Other educational instruction and library workers
"Arts, Design, Entertainment, Sports, and Media Occupations:",,,,,,,,,,,,,,,
,260,260,2600,2600,2600,2600,2600,271010,271010,271010,271010,271010,271010,271010,Artists and Related Workers
,263,263,2630,2630,2630,2630,,271020,271020,271020,271020,271020,271020,,Designers
,,,,,,,2631,,,,,,,271021,Commercial And Industrial Designers
,,,,,,,2632,,,,,,,271022,Fashion Designers
,,,,,,,2633,,,,,,,271023,Floral Designers
,,,,,,,2634,,,,,,,271024,Graphic Designers
,,,,,,,2635,,,,,,,271025,Interior Designers
,,,,,,,2636,,,,,,,271026,Merchandise Displayers And Windows Trimmers
,,,,,,,2640,,,,,,,27102X,Other Designers
,270,270,2700,2700,2700,2700,2700,272011,272011,272011,272011,272011,272011,272011,Actors
,271,271,2710,2710,2710,2710,2710,272012,272012,272012,272012,272012,272012,272012,Producers and Directors
,272,272,2720,2720,2720,2720,,272020,272020,272020,272020,272020,272020,,"Athletes, Coaches, Umpires, and Related Workers"
,,,,,,,2721,,,,,,,272021,Athletes And Sports Competitors
,,,,,,,2722,,,,,,,272022,Coaches And Scouts
,,,,,,,2723,,,,,,,272023,"Umpires, Referees, And Other Sports Officials"
,274,274,2740,2740,2740,2740,2740,272030,272030,272030,272030,272030,272030,272030,Dancers and Choreographers
,275,275,2750,2750,2750,2750,,272040,272040,272040,272040,272040,272040,,"Musicians, Singers, and Related Workers"
,,,,,,,2751,,,,,,,272041,Music Directors And Composers
,,,,,,,2752,,,,,,,272042,Musicians And Singers
,,,,,,,2755,,,,,,,272091,"Disc Jockeys, Except Radio"
,276,276,2760,2760,2760,2760,,272099,272099,272099,272099,272099,272099,,"Entertainers and Performers, Sports and Related Workers, All Other"
,,,,,,,2770,,,,,,,272099,"Entertainers and Performers, Sports and Related Workers, All Other"
,280,280,2800,2800,2800,2800,,273010,273010,273010,273010,273010,273010,,Announcers
